Тип;Артикул;Имя;Опубликован;"Видимость в каталоге";Описание;"Базовая цена";Категории;Изображения;"Внешний URL";"Текст кнопки";EAN;Бренд
external;vse-516675;"Пазовая фасонная фреза по дереву Энкор 10635";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>28.600</td></tr><tr><td>Рабочая высота</td><td>13.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Тип</td><td>пазовая фасонная</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";909;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/516675/1000x1000/51131715.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pazovaya-fasonnaya-28-6h13-mm-r-5-mm-hvostovik-8-mm-po-derevu-enkor-10635-516675%2F;Купить;4603434001788;Энкор
external;vse-1133867;"Пазовая фреза REDVERG 6625648";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>18.000</td></tr><tr><td>Рабочая высота</td><td>40.000</td></tr><tr><td>Общая длина</td><td>75.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Диаметр хвостовика</td><td>12</td></tr><tr><td>Тип</td><td>пазовая прямая</td></tr></table>";538;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1133867/1000x1000/74245273.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-pazovaya-hm-18h40h75-mm-z2-hvostovik-12-mm-redverg-6625648-1133867%2F;Купить;4630046776612;REDVERG
external;vse-1632782;"Набор фрез по дереву SKRAB 33344";1;visible;"<h4>Комплектация:</h4><ul> <li>Фрезы - 12 шт</li> </ul><br><h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Количество</td><td>12.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr></table>";1712;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Наборы фрез по дереву";https://cdn.vseinstrumenti.ru/images/goods/1632782/1000x1000/132624926.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Fnabor-frez-po-derevu-12-sht-12d-skrab-33344-1632782%2F;Купить;4750735333442;SKRAB
external;vse-1155045;"Набор фрез Gigant G-0812";1;visible;"Набор фрез Gigant G-0812 предназначен для фрезерных машин и фрезерных станков. Применяется для обработки древесины. В наборе 12 фрез различного профиля.<h4>Комплектация:</h4><ul> <li>Фреза пазовая галтельная L1=36 мм, L2=17 мм, D=13 мм, R=6.35 мм.</li> <li>Фреза кромочная галтельная L1=46.6 мм, L2=9.7/19.2 мм, D=22 мм, R=6.35 мм.</li> <li>Фреза ласточкин хвост 14 градусов L1=45.8 мм, L2=12 мм, D=12 мм.</li> <li>Фреза кромочная конусная 45 градусов L1=49.5 мм, L2=12.8/21.4 мм, D=32 мм.</li> <li>Фреза кромочная обгонная L1=47.4 мм, L2=13.3/23.2 мм, D=12.7 мм.</li> <li>Фреза пазовая прямая L1=46.5 мм, L2=19.6 мм, D=15.7 мм.</li> <li>Фреза кромочная калевочная L1=48.1 мм, L2=10.8/20 мм, D=22.8 мм.</li> <li>Фреза пазовая прямая L1=46.3 мм, L2=19.4 мм, D=12.6 мм.</li> <li>Фреза пазовая прямая L1=50 мм, L2=19.5 мм, D=6.5 мм.</li> <li>Фреза кромочная калевочная L1=52.4 мм, L2=15.5/24.5 мм, D=29.1 мм, R=9.5 мм.</li> <li>Фреза пазовая V-образная 90 градусов L1=38.1мм, L2=12 мм, D=12.8 мм.</li> <li>Фреза кромочная калевочная L1=50 мм, L2=12.9/22 мм, D=25.9 мм.</li> </ul><br><h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Посадочный диаметр фрез</td><td>8</td></tr><tr><td>Max диаметр фрезы</td><td>32</td></tr><tr><td>Min диаметр фрезы</td><td>6</td></tr><tr><td>Количество</td><td>12.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr></table>";1186;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Наборы фрез по дереву";https://cdn.vseinstrumenti.ru/images/goods/1155045/1000x1000/56520224.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Fnabor-frez-12-sht-hvostovik-8-mm-gigant-g-0812-1155045%2F;Купить;4627174670905;Gigant
external;vse-1106863;"Кромочная фальцевая фреза РОСОМАХА 1008";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>33.000</td></tr><tr><td>Рабочая высота</td><td>10.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Тип</td><td>фальцевая кромочная</td></tr></table>";550;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1106863/1000x1000/51798878.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-faltsevaya-seriya-1008-33x10-mm-hvostovik-8-mm-rosomaha-800807-1106863%2F;Купить;4603749355675;РОСОМАХА
external;vse-1662643;"Шпоночная цельная фреза Beltools ri.206.43";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>6.000</td></tr><tr><td>Длина фрезы</td><td>35.000</td></tr><tr><td>Длина режущей кромки</td><td>10.000</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Тип хвостовика</td><td>цилиндрический</td></tr><tr><td>Тип</td><td>шпоночная</td></tr><tr><td>Диаметр хвостовика</td><td>6</td></tr><tr><td>Материал</td><td>ВК8</td></tr><tr><td>Количество зубьев</td><td>2</td></tr></table>";576;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по металлу";https://cdn.vseinstrumenti.ru/images/goods/1662643/1000x1000/53882078.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-shponochnaya-tselnaya-6h10h35-mm-vk8-ts-hv-6-mm-2234-0205-gost-16463-80-beltools-ri-206-43-1662643%2F;Купить;4627201554192;Beltools
external;vse-130549;"Кромочная калевочная фреза по дереву Энкор ф19х10, r3.2, хв. 8мм";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>19.000</td></tr><tr><td>Рабочая высота</td><td>10.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Тип</td><td>кромочная</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";608;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/130549/1000x1000/54229924.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-kalevochnaya-19h10-mm-r-3-2-mm-hvostovik-8-mm-po-derevu-enkor-9240-130549%2F;Купить;4607051005969;Энкор
external;vse-130220;"Кромочная калевочная фреза Энкор 9253";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>33.300</td></tr><tr><td>Рабочая высота</td><td>16.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Вид</td><td>концевая</td></tr><tr><td>Тип</td><td>кромочная</td></tr></table>";1177;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/130220/1000x1000/51071569.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-kalevochnaya-33-3h16-mm-r-6-35-mm-hvostovik-8-mm-po-derevu-enkor-9253-130220%2F;Купить;4607051006126;Энкор
external;vse-1075882;"Кромочная калевочная фасочная фреза ЗУБР №9 ПРОФ.";1;visible;"<h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Внешний диаметр</td><td>50.800</td></tr><tr><td>Рабочая высота</td><td>23.000</td></tr><tr><td>Общая длина</td><td>66.500</td></tr><tr><td>Тип</td><td>кромочная</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";1301;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Фрезы по дереву";https://cdn.vseinstrumenti.ru/images/goods/1075882/1000x1000/51500465.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Ffreza-kromochnaya-kalevochnaya-fasochnaya-9-professional-50-8h23h66-5-mm-ugol-45-grad-hvostovik-8-mm-zubr-28711-50-8-1075882%2F;Купить;4606373257681;ЗУБР
external;vse-754006;"Сверла-фрезы VERTO 60H010";1;visible;"<h4>Комплектация:</h4><ul> <li>Фреза пазовая галтельная (9,5*40 мм, R 6,4 мм, хвостовик 8 мм)</li> <li>Фреза пазовая галтельная с V-образным наконечником (9,5*46,5, угол 90, хвостовик 8 мм)</li> <li>Фреза Ласточкин Хвост (12,7*47,5 мм, угол 14, хвостовик 8 мм)</li> <li>Фреза пазовая прямая (6* 53,7 мм, хвостовик 8 мм)</li> <li>Фреза пазовая прямая (12* 49 мм, хвостовик 8 мм)</li> <li>Фреза пазовая прямая (16* 48 мм, хвостовик 8 мм)</li> <li>Фреза кромочная прямая&nbsp;(9,5* 54,2 мм, хвостовик 8 мм)</li> <li>Фреза кромочная калевочная (22,2*50 мм, R 4,75 мм, хвостовик 8 мм)</li> <li>Фреза кромочная калевочная (25,4*53 мм, R 6,35 мм, хвостовик 8 мм)</li> <li>Фреза кромочная конусная (27*52,3 мм, угол 45, хвостовик 8 мм)</li> <li>Фреза кромочная калевочная (22,2*48 мм, R 6,35 мм, хвостовик 8 мм)</li> <li>Фреза кромочная прямая (12,7* 52,4 мм, хвостовик 8 мм).</li> </ul><br><h4>Характеристики:</h4><table border=""1"" style=""border-collapse: collapse"";><tr><td>Количество</td><td>12.000</td></tr><tr><td>Диаметр хвостовика</td><td>8</td></tr><tr><td>Вид</td><td>концевая</td></tr></table>";2667;"Расходные материалы>Для станков>Оснастка для фрезерных станков>Фрезы и наборы фрез>Наборы фрез по дереву";https://cdn.vseinstrumenti.ru/images/goods/754006/1000x1000/164198641.jpg;https://ypetp.com/g/bef1f6187aa4b2c6bd42ea9a5e8e92/?erid=LatgBxXun&f_id=24812&ulp=https%3A%2F%2Fwww.vseinstrumenti.ru%2Fproduct%2Fsverla-frezy-nabor-12-sht-hvostovik-8-mm-verto-60h010-754006%2F;Купить;5902062070197;VERTO
